PLAYER,TEAM,AGE,HEIGHT_EXCEL_ERROR,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,HEIGHT_unformatted,HEIGHT
Giannis Antetokounmpo,MIL,29,11-Jun,243,None,Greece,2013,1,15,25,31.4,11,5,7.7,8.1,22,32.8,65.5,24.1,6-11,83
Goga Bitadze,ORL,24,10-Jun,250,None,Georgia,2019,1,18,23,7.5,6.3,1.8,11.1,10.7,18.9,13.2,63.1,10.8,6-10,82
Gordon Hayward,CHA,33,7-Jun,225,Butler,USA,2010,1,9,22,15.2,4.9,4.7,-7.3,3.3,11.7,20.5,54.2,19.9,6-7,79
Gradey Dick,TOR,20,6-Jun,200,Kansas,USA,2023,1,13,17,3.7,1.3,0.9,-14.8,2.7,6.4,15.5,43.1,9.6,6-6,78
Grant Williams,DAL,25,6-Jun,236,Tennessee,USA,2019,1,22,22,9.7,3.7,1.7,0.4,3.5,8.6,13.2,57.8,7.3,6-6,78
Grayson Allen,PHX,28,4-Jun,198,Duke,USA,2018,1,21,21,12.3,4.4,2.8,0.1,2.6,10.4,13.7,66.2,11.8,6-4,76
Greg Brown III,DAL,22,7-Jun,206,Texas,USA,2021,2,43,2,0,0,0.5,36.7,0,0,0,0,50,6-7,79
Gui Santos,GSW,21,6-Jun,185,None,Brazil,2022,2,55,2,2,2,0.5,16,12.5,14.3,20.7,50,11.1,6-6,78
Harrison Barnes,SAC,31,8-Jun,225,North Carolina,USA,2012,1,7,24,11.3,3.3,1.5,-0.8,2.9,8.2,13.6,61.3,6.6,6-8,80
Harry Giles III,BKN,25,10-Jun,240,Duke,USA,2017,1,20,5,6.8,2,0.2,18.8,13.5,10.9,28.3,65.2,4.2,6-10,82
Haywood Highsmith,MIA,27,5-Jun,220,Wheeling Jesuit,USA,2018,,,16,6.2,2.6,1.5,4.4,3.2,9.9,13.2,54.9,9.2,6-5,77
Herbert Jones,NOP,25,7-Jun,206,Alabama,USA,2021,2,35,24,11.3,4.3,2.8,1.8,4.1,9.8,15,61.6,12,6-7,79
Hunter Tyson,DEN,23,8-Jun,215,Clemson,USA,2023,2,37,8,0.3,0.6,0.1,1.8,0,26.3,9.1,25,5.9,6-8,80
Immanuel Quickley,NYK,24,2-Jun,190,Kentucky,USA,2020,1,25,24,14.6,3,2.7,8.1,0.8,11.8,23.8,57.5,17.4,6-2,74
Isaac Okoro,CLE,22,5-Jun,225,Auburn,USA,2020,1,5,17,7.1,3.3,1.5,-4.9,4.8,8,12.2,58.3,8.8,6-5,77
Isaiah Hartenstein,NYK,25,Jul-00,250,None,Germany,2017,2,43,25,6,6,1.3,5.7,13.8,16.7,12.2,62.2,8.5,7-1,85
Isaiah Jackson,IND,21,9-Jun,205,Kentucky,USA,2021,1,22,17,7.7,4.6,1.1,-3.5,10.3,20.8,15.9,70,9.2,6-9,81
Isaiah Joe,OKC,24,3-Jun,165,Arkansas,USA,2020,2,49,24,9.9,2.2,1.1,17.8,0.4,9.5,16.5,63.3,6.9,6-3,75
Isaiah Livers,DET,25,6-Jun,232,Michigan,USA,2021,2,42,12,5.2,2.3,1.3,-21.4,2.1,8.4,13.6,40.9,8,6-6,78
Isaiah Mobley,CLE,24,8-Jun,238,Southern California,USA,2022,2,49,2,1,1,1.5,-40,0,40,18.2,33.3,60,6-8,80
Isaiah Stewart,DET,22,8-Jun,250,Washington,USA,2020,1,16,25,10.2,6.8,1.4,-8.1,5.8,16.6,14.9,56.3,6.3,6-8,80
Ish Smith,CHA,35,Jun-00,175,Wake Forest,USA,Undrafted,Undrafted,Undrafted,18,3.3,1.6,2.7,-12.5,1.7,8.3,11.6,56.6,24.2,6-1,73
Ish Wainright,POR,29,5-Jun,250,Baylor,USA,Undrafted,Undrafted,Undrafted,2,0,0,0,-9.1,0,0,8.3,0,0,6-5,77
Ivica Zubac,LAC,26,Jul-00,240,None,Croatia,2016,2,32,26,12.2,9.3,1.1,9.1,12.3,21.6,17.3,63,5.7,7-1,85
JT Thor,CHA,21,9-Jun,203,Auburn,USA,2021,2,37,21,3.1,2.6,0.5,-12.2,4.3,11.2,10.2,42.4,3.9,6-9,81
JaVale McGee,SAC,35,Jul-00,270,Nevada,USA,2008,1,18,22,4.7,3.1,0.4,2.6,13.5,22.5,20.2,67.1,6.8,7-1,85
Jabari Smith Jr.,HOU,20,11-Jun,220,Auburn,USA,2022,1,3,23,12.7,8.7,1.8,1.1,5.9,21.2,17.6,57.7,8.7,6-11,83
Jabari Walker,POR,21,7-Jun,227,Colorado,USA,2022,2,57,25,7.2,5,0.7,-3.7,7.9,19.9,17.1,53.6,5.7,6-7,79
Jacob Gilyard,MEM,25,8-May,160,Richmond,USA,Undrafted,Undrafted,Undrafted,18,3.2,1.1,2.8,-11.6,2.1,5.2,9.7,58.7,28.3,5-8,68
Jacob Toppin,NYK,23,8-Jun,200,Kentucky,USA,Undrafted,Undrafted,Undrafted,1,0,0,0,-56.7,0,0,0,0,0,6-8,80
Jaden Hardy,DAL,21,3-Jun,198,None,USA,2022,2,37,21,6.5,1.7,1.4,-3.3,2.9,10.6,23.9,49.7,17.6,6-3,75
Jaden Ivey,DET,21,4-Jun,195,Purdue,USA,2022,1,5,22,11.5,2.8,2.6,-11.8,2.9,8.4,20.9,55.3,16.7,6-4,76
Jaden McDaniels,MIN,23,9-Jun,185,Washington,USA,2020,1,28,14,9.5,2.1,1.1,8.9,2.8,6.4,15.4,62.9,5.9,6-9,81
Jaden Springer,PHI,21,4-Jun,202,Tennessee,USA,2021,1,28,15,4.1,1.7,1.1,2.7,7.8,7.7,19.8,46.9,14,6-4,76
Jae Crowder,MIL,33,6-Jun,235,Marquette,USA,2012,2,34,9,8.1,3.9,1.7,-10.3,1.6,12.9,9.5,69.8,8.9,6-6,78
Jae'Sean Tate,HOU,28,4-Jun,230,Ohio State,USA,Undrafted,Undrafted,Undrafted,21,5.4,3.6,1.1,6.5,5.4,13.6,12,58.4,9.6,6-4,76
Jaime Jaquez Jr.,MIA,22,6-Jun,225,UCLA,USA,2023,1,18,26,13.2,3.7,2.8,0.8,3.8,9.7,19.3,60.7,15,6-6,78
Jake LaRavia,MEM,22,7-Jun,235,Wake Forest,USA,2022,1,19,7,3.3,1.1,0.7,-24.2,2.8,6,14.8,39.8,10.9,6-7,79
Jakob Poeltl,TOR,28,Jul-00,260,Utah,Austria,2016,1,9,25,11.1,8.5,2.2,-2.1,10.9,21.2,14.8,71.2,11.8,7-1,85
Jalen Brunson,NYK,27,2-Jun,190,Villanova,USA,2018,2,33,25,25.5,3.9,5.9,2.8,1.9,9.3,27.1,59.6,27,6-2,74
Jalen Duren,DET,20,10-Jun,250,Memphis,USA,2022,1,13,14,12.6,10.9,2.5,-7.9,10.9,24.1,17.6,63.2,12.8,6-10,82
Jalen Green,HOU,21,4-Jun,186,None,USA,2021,1,2,23,17.7,4.4,3.2,-0.7,1.1,12.4,26.3,53.6,16.2,6-4,76
Jalen Hood-Schifino,LAL,20,5-Jun,215,Indiana,USA,2023,1,17,5,2.8,1.2,0.8,-37.8,1.7,9.3,21.4,31.3,15.4,6-5,77
Jalen Johnson,ATL,22,8-Jun,219,Duke,USA,2021,1,20,15,14.1,7.3,2.4,4.6,4.4,18.9,16.7,67.3,10.8,6-8,80
Jalen McDaniels,TOR,25,9-Jun,190,San Diego State,USA,2019,2,52,16,2,1.1,0.6,-6.2,2.5,9,16.6,32.1,9.3,6-9,81
Jalen Pickett,DEN,24,2-Jun,202,Penn State,USA,2023,2,32,12,2.3,0.8,0.7,4.3,1.5,12,16.1,64,14.8,6-2,74
Jalen Slawson,SAC,24,7-Jun,215,Furman,USA,2023,2,54,5,0.8,0.8,0.4,-36.8,0,20,11.6,66.7,16.7,6-7,79
Jalen Smith,IND,23,9-Jun,215,Maryland,USA,2020,1,10,14,10,5.5,0.9,-2.1,8.9,25.9,18.4,80.6,7.7,6-9,81
Jalen Suggs,ORL,22,5-Jun,205,Gonzaga,USA,2021,1,5,23,12.5,3.6,2.5,1.2,2.3,11.4,19.4,59.9,13.4,6-5,77
Jalen Williams,OKC,22,5-Jun,211,Santa Clara,USA,2022,1,12,21,17.5,4,3.6,4.3,1.2,10.1,21.5,58.8,15.8,6-5,77
Jalen Wilson,BKN,23,6-Jun,220,Kansas,USA,2023,2,51,5,2.2,1.4,0.4,-12,7.3,10.3,8.7,79.9,7.1,6-6,78
Jamal Cain,MIA,24,6-Jun,191,Oakland,USA,Undrafted,Undrafted,Undrafted,8,4.6,1.5,0.1,-6.7,4.3,7,13.3,54.7,1.2,6-6,78
Jamal Murray,DEN,26,4-Jun,215,Kentucky,Canada,2016,1,7,13,18,3.2,6,6.7,1.3,9.5,24.8,57.1,28.9,6-4,76
Jamaree Bouyea,POR,24,2-Jun,180,San Francisco,USA,Undrafted,Undrafted,Undrafted,6,1.7,1.7,1.3,-19.7,2.7,15.7,20,23.8,25.8,6-2,74
James Bouknight,CHA,23,4-Jun,190,Connecticut,USA,2021,1,11,2,7,1,0,-34.3,11.1,14.3,29.6,87.5,0,6-4,76
James Harden,LAC,34,5-Jun,220,Arizona State,USA,2009,1,3,21,17.1,4.6,7.6,8.1,1,12,19,67.4,31.5,6-5,77
James Johnson,IND,36,7-Jun,240,Wake Forest,USA,2009,1,16,2,0,1.5,1,28.8,10,18.2,7.7,0,18.2,6-7,79
James Wiseman,DET,22,11-Jun,240,Memphis,USA,2020,1,2,16,6.9,4,0.7,-16.7,9.1,18.7,17.4,70.5,8.3,6-11,83
Jarace Walker,IND,20,7-Jun,235,Houston,USA,2023,1,8,8,3.8,1.5,1.4,8.3,1.2,14.7,14.7,51.2,14.1,6-7,79
Jared Butler,WAS,23,3-Jun,193,Baylor,USA,2021,2,40,12,3.9,0.7,1.8,-11.3,0,7.7,20.5,59.8,35.5,6-3,75
Jared Rhoden,DET,24,5-Jun,210,Seton Hall,USA,Undrafted,Undrafted,Undrafted,5,2.6,0.8,0.6,23,5,10.7,17.9,65.8,13.6,6-5,77
Jaren Jackson Jr.,MEM,24,10-Jun,242,Michigan State,USA,2018,1,4,24,21.8,5.7,1.8,-6.4,4.4,13.1,28.4,55.7,10.2,6-10,82
Jarred Vanderbilt,LAL,24,8-Jun,214,Kentucky,USA,2018,2,41,5,1,4.6,1,8.2,6.8,23.7,6.9,23,8.1,6-8,80
Jarrett Allen,CLE,25,9-Jun,243,Texas,USA,2017,1,22,21,13,8.4,2.3,1.2,10.4,18.2,16.1,69.8,11,6-9,81
Jaxson Hayes,LAL,23,Jul-00,220,Texas,USA,2019,1,8,23,3.2,2,0.3,-7.2,5.3,11.2,11.6,64.9,4.4,7-1,85
Jay Huff,DEN,26,1-Jul,240,Virginia,USA,Undrafted,Undrafted,Undrafted,2,1,0,0,-80,0,0,20,100,0,7-1,85
Jaylen Brown,BOS,27,6-Jun,223,California,USA,2016,1,3,24,22.3,4.7,3.5,8.2,2,10.7,27.9,56.1,16.3,6-6,78
Jaylen Nowell,MEM,24,4-Jun,201,Washington,USA,2019,2,43,9,5.7,1.6,1.8,-0.6,1.8,6.7,16.2,45.3,14.5,6-4,76
Jaylin Williams,OKC,21,9-Jun,240,Arkansas,USA,2022,2,34,19,4.5,3.5,1.4,7.3,4.4,21.5,14.6,55.7,14.1,6-9,81
Jayson Tatum,BOS,25,8-Jun,210,Duke,USA,2017,1,3,25,27.3,8.7,4.1,9.9,2.2,19.9,29.4,60.4,17.7,6-8,80
Jeff Green,HOU,37,8-Jun,235,Georgetown,USA,2007,1,5,22,7,2.3,0.6,3.2,5.2,8.6,16,68.2,6.6,6-8,80
Jerami Grant,POR,29,7-Jun,210,Syracuse,USA,2014,2,39,21,22.7,4,2.3,-7.3,2,9.7,26,58.2,11,6-7,79
Jeremiah Robinson-Earl,NOP,23,8-Jun,240,Villanova,USA,2021,2,32,11,4,2.5,0.5,-13.9,8.7,14.9,14.6,65.4,7.8,6-8,80
Jeremy Sochan,SAS,20,8-Jun,230,Baylor,Poland,2022,1,9,25,10.4,5.3,4,-12.1,4.8,13.2,18.7,49.1,19.9,6-8,80
Jericho Sims,NYK,25,10-Jun,250,Texas,USA,2021,2,58,13,1.8,1.8,0.2,-11.9,5.9,15.8,8,66.9,4.1,6-10,82
Jermaine Samuels Jr.,HOU,25,6-Jun,230,Villanova,USA,Undrafted,Undrafted,Undrafted,5,1.2,1.4,0.4,-19.1,3.4,24,7.4,61.5,9.1,6-6,78
Jerome Robinson,GSW,26,5-Jun,190,Boston College,USA,2018,1,13,1,0,2,0,0,14.3,14.3,14.3,0,0,6-5,77
Jett Howard,ORL,20,6-Jun,215,Michigan,USA,2023,1,11,8,1.4,0.5,0.4,6.5,2.9,8.1,20.5,34.6,13.6,6-6,78
Jevon Carter,CHI,28,1-Jun,200,West Virginia,USA,2018,2,32,28,5.2,0.7,1.3,1.2,0.9,3.9,17.4,48.5,13,6-1,73
Jimmy Butler,MIA,34,7-Jun,230,Marquette,USA,2011,1,30,22,21.8,5.2,4.6,6.3,6.1,9.7,25.5,59.7,21.3,6-7,79
Jock Landale,HOU,28,11-Jun,255,St. Mary's,Australia,Undrafted,Undrafted,Undrafted,15,1.7,1.8,0.5,8.2,8,10.3,11.6,43.7,8.5,6-11,83
Joe Harris,DET,32,6-Jun,220,Virginia,USA,2014,2,33,10,2.7,0.8,0.7,-14.2,1.4,4.7,10.8,45,8.5,6-6,78
Joe Ingles,ORL,36,9-Jun,220,None,Australia,Undrafted,Undrafted,Undrafted,24,4.9,2.8,3.4,8.4,2.6,12.4,11.3,57.2,22.7,6-9,81
Joel Embiid,PHI,29,Jul-00,280,Kansas,Cameroon,2014,1,3,23,34.4,11.8,6,14.9,8.6,24.1,37.5,64.5,31.5,7-1,85
John Collins,UTA,26,9-Jun,226,Wake Forest,USA,2017,1,19,22,14.5,8.6,0.9,-12.6,8.1,19.3,18.6,57.3,4.6,6-9,81
John Konchar,MEM,27,5-Jun,210,Indiana-Purdue Fort Wayne,USA,Undrafted,Undrafted,Undrafted,19,3.3,3.9,1.4,-7.2,5.4,16.9,9.2,48,11.3,6-5,77
Johnny Davis,WAS,21,4-Jun,195,Wisconsin,USA,2022,1,10,14,3.1,1.4,0.4,0.7,5.8,8.7,14.6,50.9,5.3,6-4,76
Johnny Juzang,UTA,22,5-Jun,209,UCLA,USA,Undrafted,Undrafted,Undrafted,1,0,0,1,-18.1,0,0,20,0,100,6-5,77
Jonas Valanciunas,NOP,31,11-Jun,265,None,Lithuania,2011,1,5,27,14.6,9.7,2.4,5.6,9.3,26.5,19.9,64.1,12.5,6-11,83
Jonathan Isaac,ORL,26,10-Jun,230,Florida State,USA,2017,1,6,18,6.5,4.3,0.3,10.3,7.7,21.1,18.2,57,3.1,6-10,82
Jonathan Kuminga,GSW,21,7-Jun,225,None,DRC,2021,1,7,25,12,3.6,0.9,4.2,4.9,11.8,24.2,56,6.9,6-7,79
Jordan Clarkson,UTA,31,3-Jun,194,Missouri,USA,2014,2,46,19,16.6,3.4,4.9,-10.4,3.8,7.4,25.9,49.8,25.1,6-3,75
Jordan Ford,SAC,25,1-Jun,175,St. Mary's College,USA,Undrafted,Undrafted,Undrafted,6,2,0.3,0.3,28.9,0,10,18.4,76.1,11.8,6-1,73
Jordan Goodwin,PHX,25,4-Jun,200,St. Louis,USA,Undrafted,Undrafted,Undrafted,26,6.4,3.9,2.7,-0.3,6,14.1,16.9,49.7,21.9,6-4,76
Jordan Hawkins,NOP,21,5-Jun,190,Connecticut,USA,2023,1,14,26,10.9,3.3,1.5,-6.3,2.4,10.5,18.3,53.5,8.8,6-5,77
Jordan McLaughlin,MIN,27,Jun-00,185,Southern California,USA,Undrafted,Undrafted,Undrafted,8,1,0,0.9,8.5,0,0,7.8,68,29.2,6-1,73
Jordan Miller,LAC,23,5-Jun,194,Miami,USA,2023,2,48,3,1.7,0.3,0,-34.6,0,7.7,12.9,83.3,0,6-5,77
Jordan Nwora,IND,25,8-Jun,225,Louisville,USA,2020,2,45,9,6.9,2.4,1.1,0.6,6,14.2,21.9,58.3,11.2,6-8,80
Jordan Poole,WAS,24,4-Jun,194,Michigan,USA,2019,1,28,24,16.9,2.6,3.6,-16.1,1.2,7.2,26.9,51.7,17.2,6-4,76
Jose Alvarado,NOP,25,Jun-00,179,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,13,7.5,2.6,2.2,10.7,2.6,11.2,18.7,55.2,17.6,6-1,73
Josh Giddey,OKC,21,8-Jun,216,None,Australia,2021,1,6,24,11.6,5.9,4.4,1.7,6.1,15.6,23.5,48,23.9,6-8,80
Josh Green,DAL,23,5-Jun,200,Arizona,Australia,2020,1,18,18,6.9,2.9,2.4,-0.3,2,9,12.2,53.2,12,6-5,77
Josh Hart,NYK,28,4-Jun,215,Villanova,USA,2017,1,30,25,7.8,5.6,2.8,8.5,3.7,16.5,11.7,55.6,13.5,6-4,76
Josh Minott,MIN,21,8-Jun,205,Memphis,USA,2022,2,45,11,1.8,0.3,0.1,4.8,3.1,6.7,21.1,60.1,7.7,6-8,80
Josh Okogie,PHX,25,4-Jun,213,Georgia Tech,Nigeria,2018,1,20,23,6.5,3.4,1.2,3.6,7.6,7.9,13,55.8,7.8,6-4,76
Josh Richardson,MIA,30,5-Jun,200,Tennessee,USA,2015,2,40,21,10.1,2.7,3,-4.2,1.9,8.2,15.7,56.2,15.8,6-5,77
Joshua Primo,LAC,20,4-Jun,189,Alabama,Canada,2021,1,12,1,2,0,0,-23.7,0,0,38.5,50,0,6-4,76
Jrue Holiday,BOS,33,4-Jun,205,UCLA,USA,2009,1,17,23,12.3,6.6,4.6,10.7,4.9,12.6,16.4,54.7,17.9,6-4,76
Juan Toscano-Anderson,SAC,30,6-Jun,209,Marquette,USA,Undrafted,Undrafted,Undrafted,1,0,2,1,26.7,33.3,25,16.7,0,100,6-6,78
Jules Bernard,WAS,23,6-Jun,210,UCLA,USA,Undrafted,Undrafted,Undrafted,2,1,0.5,0.5,-32.8,6.3,0,18.2,20,16.7,6-6,78
Julian Champagnie,SAS,22,7-Jun,217,St. John's,USA,Undrafted,Undrafted,Undrafted,18,5.4,1.6,0.8,-21,2.2,9.4,17.2,54,9.5,6-7,79
Julian Phillips,CHI,20,8-Jun,198,Tennessee,USA,2023,2,35,15,0.7,0.7,0.4,4.1,2.5,10.3,12,29.3,12,6-8,80
Julian Strawther,DEN,21,6-Jun,205,Gonzaga,USA,2023,1,29,24,5.8,1.5,1.1,-9.2,0.3,10,18.1,50.8,11.5,6-6,78
Julius Randle,NYK,29,8-Jun,250,Kentucky,USA,2014,1,7,25,22.4,9.4,5.3,1.8,5.6,21.5,27.9,55,23.9,6-8,80
Justin Holiday,DEN,34,6-Jun,180,Washington,USA,Undrafted,Undrafted,Undrafted,16,4.8,1.5,1.3,13.4,1.7,8.3,9.6,71.7,9.1,6-6,78
Justin Minaya,POR,24,5-Jun,205,Providence,USA,Undrafted,Undrafted,Undrafted,6,1.2,0.8,0,-10.6,8.9,2.4,8.7,50.9,0,6-5,77
Jusuf Nurkic,PHX,29,Jul-00,290,None,Bosnia and Herzegovina,2014,1,16,26,12.3,10.2,3.9,7,10.6,25,19.7,54.7,18.6,7-1,85
KJ Martin,PHI,22,6-Jun,215,None,USA,2020,2,52,15,1.9,1.1,0.6,2.2,4.2,11.1,12.9,47.2,12.2,6-6,78
Kaiser Gates,NOP,27,7-Jun,225,Xavier,USA,2018,,,1,0,1,0,-7,0,9.1,22.2,0,0,6-7,79
Karl-Anthony Towns,MIN,28,Jul-00,248,Kentucky,USA,2015,1,1,24,22.4,9.5,3,9.1,4.9,22.5,26.5,63.2,14.4,7-1,85
Kawhi Leonard,LAC,32,7-Jun,225,San Diego State,USA,2011,1,15,26,24.2,5.8,3.5,10.1,3,13,25.4,63.1,15.8,6-7,79
Keegan Murray,SAC,23,8-Jun,225,Iowa,USA,2022,1,4,20,15.5,5.7,1.8,2.4,4.3,13.6,19,56.7,7.8,6-8,80
Keita Bates-Diop,PHX,27,8-Jun,229,Ohio State,USA,2018,2,48,22,5.2,3.1,0.9,-4.1,5.3,11.9,13.5,49.1,7.4,6-8,80
Keldon Johnson,SAS,24,5-Jun,220,Kentucky,USA,2019,1,29,24,17,6.3,4.2,-10.2,3.5,15,20.4,57.1,19.1,6-5,77
Kelly Olynyk,UTA,32,11-Jun,240,Gonzaga,Canada,2013,1,13,24,7.5,5.8,4.3,-2.6,7.1,19.1,13.8,66.6,26.5,6-11,83
Kelly Oubre Jr.,PHI,28,7-Jun,203,Kansas,USA,2015,1,15,15,13.7,4.3,0.7,13.1,4.4,11.6,20,58.5,3.8,6-7,79
Kenneth Lofton Jr.,MEM,21,6-Jun,275,Louisiana Tech,USA,Undrafted,Undrafted,Undrafted,15,2.6,1,0.9,2.3,1.7,14.1,19.8,44.7,21.2,6-6,78
Kenrich Williams,OKC,29,6-Jun,210,TCU,USA,Undrafted,Undrafted,Undrafted,14,4.8,2.7,1.4,12.1,5.6,12.1,13.4,55.5,13.7,6-6,78
Kentavious Caldwell-Pope,DEN,30,5-Jun,204,Georgia,USA,2013,1,8,25,10.6,1.9,2.5,10.1,1.2,4.6,13,58.8,9.1,6-5,77
Keon Ellis,SAC,23,3-Jun,175,Alabama,USA,Undrafted,Undrafted,Undrafted,17,4.4,1.5,1.4,8.3,2.8,9,13.6,62.1,12.2,6-3,75
Kessler Edwards,SAC,23,7-Jun,203,Pepperdine,USA,2021,2,44,19,1.3,0.8,0.3,-14.3,2.8,11.9,10,48.2,6.8,6-7,79
Kevin Durant,PHX,35,11-Jun,240,Texas,USA,2007,1,2,22,30.6,6.2,5.6,4,1.2,15.2,31.2,63.3,26.7,6-11,83
Kevin Huerter,SAC,25,7-Jun,198,Maryland,USA,2018,1,19,23,11.2,4.3,2.9,1.3,2.4,14.2,17.7,55.5,15.8,6-7,79
Kevin Knox II,DET,24,7-Jun,215,Kentucky,USA,2018,1,9,10,6,2.4,0.5,-6.8,3.3,13.7,15.7,59.8,4.4,6-7,79
Kevin Love,MIA,35,8-Jun,251,UCLA,USA,2008,1,5,20,9.6,6.8,2.5,10.6,5.1,30.6,19.8,59.9,17.9,6-8,80
Kevon Looney,GSW,27,9-Jun,222,UCLA,USA,2015,1,30,26,5.5,8,2.7,-3.6,11.4,22.9,10.3,58.6,17.3,6-9,81
Keyontae Johnson,OKC,23,4-Jun,230,Kansas State,USA,2023,2,50,1,0,0,0,-18.2,0,0,8.3,0,0,6-4,76
Keyonte George,UTA,20,4-Jun,185,Baylor,USA,2023,1,16,24,10.9,3,5,-13.4,1.8,9.9,21.1,50,28.6,6-4,76
Khris Middleton,MIL,32,7-Jun,222,Texas A&M,USA,2012,2,39,21,12.9,4.9,4.2,9.4,3.5,16.3,24,56.9,24.4,6-7,79
Killian Hayes,DET,22,5-Jun,195,None,France,2020,1,7,25,9.1,3.1,4.4,-9.9,1.3,10.4,16.2,49.2,23.3,6-5,77
Kira Lewis Jr.,NOP,22,1-Jun,170,Alabama,USA,2020,1,13,13,3.1,0.8,1.4,-2.8,2,5.2,17.7,39.2,21.7,6-1,73
Klay Thompson,GSW,33,6-Jun,220,Washington State,USA,2011,1,11,25,16.8,3.9,2.1,-1.8,1.9,10.4,22.3,56.8,10.5,6-6,78
Kobe Brown,LAC,23,7-Jun,250,Missouri,USA,2023,1,30,17,2.3,1.7,0.5,2.7,3.5,14.6,10.9,47.7,6.1,6-7,79
Kobe Bufkin,ATL,20,5-Jun,195,Michigan,USA,2023,1,15,2,0.5,1,0,-126.4,16.7,100,33.3,12.9,0,6-5,77
Kris Dunn,UTA,29,3-Jun,205,Providence,USA,2016,1,5,18,4.8,2.3,2.7,0.5,3.5,11.2,17.1,52.2,25.9,6-3,75
Kris Murray,POR,23,8-Jun,210,Iowa,USA,2023,1,23,13,2.7,1.8,0.5,7.8,4.5,11,11.2,44.6,6.4,6-8,80
Kristaps Porzingis,BOS,28,2-Jul,240,None,Latvia,2015,1,4,19,18.9,6.8,1.7,8.8,5.1,16,22.7,65.1,8.1,7-2,86
Kyle Anderson,MIN,30,9-Jun,230,UCLA,USA,2014,1,30,24,7,3.7,4.1,3.9,3.1,11.3,14.7,51.6,25.3,6-9,81
Kyle Kuzma,WAS,28,9-Jun,221,Utah,USA,2017,1,27,25,23.1,6,4.3,-13.1,2.7,15.5,30.6,55.6,21.3,6-9,81
Kyle Lowry,MIA,37,Jun-00,196,Villanova,USA,2006,1,24,25,9.8,4,4.2,1.9,2.6,11.7,13.3,62.7,19.7,6-1,73
Kyrie Irving,DAL,31,2-Jun,195,Duke,Australia,2011,1,1,17,23,3.9,5.2,3.1,1.7,10.2,27.2,58,24.7,6-2,74
LaMelo Ball,CHA,22,7-Jun,180,None,USA,2020,1,3,15,24.7,5.5,8.2,-8.2,4.3,11.7,30.8,56.8,38.7,6-7,79
Lamar Stevens,BOS,26,7-Jun,230,Penn State,USA,Undrafted,Undrafted,Undrafted,9,2.3,1.1,0.3,-16.7,9.4,12.5,19.8,56,12,6-7,79
Landry Shamet,WAS,26,4-Jun,190,Wichita State,USA,2018,1,26,15,8.3,1.4,1.5,-2.3,0.7,7.8,18.2,59.1,11.8,6-4,76
Larry Nance Jr.,NOP,30,8-Jun,245,Wyoming,USA,2015,1,27,14,3.5,4.1,0.7,-9,8,16.8,11.4,53.8,7.1,6-8,80
Lauri Markkanen,UTA,26,Jul-00,240,Arizona,Finland,2017,1,7,17,23.4,8.4,1.1,-4.3,6.3,18.2,24,63,5.4,7-1,85
LeBron James,LAL,38,9-Jun,250,None,USA,2003,1,1,24,25.2,7.5,7,5.7,3,17.8,29,63.7,33.3,6-9,81
Leaky Black,CHA,24,6-Jun,209,North Carolina,USA,Undrafted,Undrafted,Undrafted,5,1.4,0.6,0.6,11.5,0,10.7,12.1,58.3,13,6-6,78
Leonard Miller,MIN,20,10-Jun,210,None,Canada,2023,2,33,3,0.7,2,0.3,-46.7,0,60,12.5,50,50,6-10,82
Lester Quinones,GSW,23,4-Jun,208,Memphis,USA,Undrafted,Undrafted,Undrafted,2,2.5,0,0,5.6,0,0,29.2,41.7,0,6-4,76
Lindell Wigginton,MIL,25,1-Jun,189,Iowa State,Canada,2019,,,3,2,0,0,-66.5,0,0,41.2,51,0,6-1,73
