PLAYER,TEAM,AGE,HEIGHT_EXCEL_ERROR,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,HEIGHT_unformatted,HEIGHT
RJ Barrett,NYK,23,6-Jun,214,Duke,Canada,2019,1,3,20,19.1,3.9,2.5,2.9,2.3,10.9,27.1,54.8,12.5,6-6,78
Rayan Rupert,POR,19,6-Jun,185,None,France,2023,2,43,7,0.7,0.1,0.3,-39.3,2.4,0,21.1,18.2,12.5,6-6,78
Reggie Bullock Jr.,HOU,32,6-Jun,205,North Carolina,USA,2013,1,25,11,1.9,1.2,0.3,-9.1,2.1,11.6,10.1,51.4,4,6-6,78
Reggie Jackson,DEN,33,2-Jun,208,Boston College,USA,2011,1,24,27,13.4,2.3,4.6,3.1,1.4,6.9,21.2,57.8,24.9,6-2,74
Richaun Holmes,DAL,30,9-Jun,235,Bowling Green,USA,2015,2,37,13,2.7,3.5,0.5,-2.9,11.1,19.4,13.2,50.6,7.6,6-9,81
Robert Covington,PHI,33,7-Jun,209,Tennessee State,USA,Undrafted,Undrafted,Undrafted,25,4.7,3.5,0.8,11.5,6.7,12.9,10.7,59.3,6.1,6-7,79
Robert Williams III,POR,26,9-Jun,249,Texas A&M,USA,2018,1,27,6,6.8,6.3,0.8,-13.3,8,22.7,12.2,68.4,6.5,6-9,81
Robin Lopez,MIL,35,1-Jul,281,Stanford,USA,2008,1,15,6,0.3,0,0.3,-21.3,0,0,10.9,25.8,16.7,7-1,85
Ron Harper Jr.,TOR,23,4-Jun,233,Rutgers,USA,Undrafted,Undrafted,Undrafted,1,0,0,1,-88.9,0,0,0,0,33.3,6-4,76
Royce O'Neale,BKN,30,6-Jun,226,Baylor,USA,Undrafted,Undrafted,Undrafted,24,8,5,3.3,0.6,2.7,14.3,12.1,56,15.3,6-6,78
Rudy Gobert,MIN,31,1-Jul,258,None,France,2013,1,27,24,12.7,12,1.2,9.9,12,23.6,15.7,63.3,5.4,7-1,85
Rui Hachimura,LAL,25,8-Jun,230,Gonzaga,Japan,2019,1,9,17,11.8,3.8,1.3,4.2,3,11.4,19.2,58.7,7.7,6-8,80
Russell Westbrook,LAC,35,4-Jun,200,UCLA,USA,2008,1,4,26,11.2,6.2,4.7,1.6,6.5,18.2,22.9,50.9,28.1,6-4,76
Ryan Arcidiacono,NYK,29,3-Jun,195,Villanova,USA,Undrafted,Undrafted,Undrafted,8,0,0.5,0.3,2.7,0,17.4,4.8,0,15.4,6-3,75
Ryan Rollins,WAS,21,3-Jun,180,Toledo,USA,2022,2,44,8,4,1.3,1.3,47.3,4.3,13.6,25.4,63.9,25,6-3,75
Saben Lee,PHX,24,2-Jun,183,Vanderbilt,USA,2020,2,38,4,2.5,0.8,0.8,-8,25,6.7,28.6,63.5,50,6-2,74
Saddiq Bey,ATL,24,7-Jun,215,Villanova,USA,2020,1,19,25,12.6,6.2,1.3,3.5,6.5,13.4,15,58.5,5.3,6-7,79
Sam Hauser,BOS,26,7-Jun,217,Virginia,USA,Undrafted,Undrafted,Undrafted,25,9.4,3.5,1,7.7,3.8,10.5,14,67.5,6.2,6-7,79
Sam Merrill,CLE,27,4-Jun,205,Utah State,USA,2020,2,60,13,3.7,1,0.7,-17.6,3.3,8.1,17.4,57.1,13.2,6-4,76
