PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Immanuel Quickley,NYK,81,0.3,2.2,0.68,0.2,0.1,0.3,29.2,33.3,4,4,4,4,28,9.3
Justin Holiday,ATL,28,0.9,18.8,0.65,0.6,0.2,0.9,25,35.4,0,7.7,0,0,23.1,7.9
Jonathan Kuminga,GSW,67,0.2,2,1.23,0.2,0.1,0.1,50,65,15.4,7.7,15.4,0,53.8,88.1
Johnny Juzang,UTA,18,0.8,13,1.14,0.9,0.3,0.8,42.9,57.1,0,0,0,0,42.9,79.2
Gabe Vincent,MIA,68,0.2,2.3,1,0.2,0.1,0.2,40,50,6.3,0,6.3,0,43.8,60.6
Cole Anthony,ORL,60,0.3,2.1,1,0.3,0.1,0.2,46.2,50,12.5,6.3,12.5,0,50,60.6
Terence Davis,SAC,64,0.4,5.5,0.67,0.3,0.1,0.4,26.1,34.8,0,4.2,0,0,25,8.4
Khris Middleton,MIL,33,0.8,5.4,0.57,0.5,0.2,0.7,27.3,29.5,3.6,17.9,3.6,0,25,4.8
Tobias Harris,PHI,74,0.4,3.1,0.52,0.2,0.1,0.4,19.4,25.8,0,0,0,0,19.4,2.6
Josh Giddey,OKC,76,0.1,0.7,1.5,0.2,0.1,0.1,75,87.5,10,20,10,10,60,98.7
Caleb Houstan,ORL,51,0.2,5.3,1.36,0.3,0.1,0.2,55.6,72.2,9.1,9.1,9.1,0,54.5,96.5
Reggie Bullock Jr.,DAL,78,0.2,2.5,1.15,0.2,0.1,0.2,38.5,57.7,0,0,0,0,38.5,80.5
Tyrese Haliburton,IND,56,0.3,1.3,1.07,0.3,0.1,0.2,46.2,53.8,7.1,7.1,7.1,7.1,42.9,70.9
Evan Fournier,NYK,27,0.6,8,0.94,0.6,0.2,0.5,42.9,53.6,0,12.5,0,0,37.5,43.8
Bryn Forbes,MIN,25,0.8,18.8,0.79,0.6,0.2,0.7,35.3,41.2,5.3,10.5,5.3,5.3,31.6,18.5
De'Aaron Fox,SAC,73,0.2,0.6,1.27,0.2,0.1,0.1,62.5,68.8,18.2,9.1,18.2,0,54.5,93
Kevin Love,MIA,21,0.6,6.8,1.17,0.7,0.2,0.5,45.5,63.6,0,8.3,0,0,41.7,81.5
Payton Pritchard,BOS,48,0.3,4.8,1,0.3,0.1,0.3,38.5,53.8,0,7.1,0,0,35.7,60.6
Devonte' Graham,SAS,20,0.7,5.4,1,0.7,0.3,0.7,38.5,50,7.1,7.1,7.1,7.1,35.7,60.6
Bones Hyland,DEN,43,0.3,2.8,0.93,0.3,0.1,0.3,38.5,53.8,0,13.3,0,0,33.3,42.2
Kevin Love,CLE,42,0.4,4.2,0.93,0.3,0.1,0.3,30.8,42.3,13.3,6.7,6.7,6.7,33.3,42.2
Jordan Nwora,IND,24,0.6,5.1,0.93,0.6,0.2,0.5,41.7,58.3,0,20,0,0,33.3,42.2
Austin Reaves,LAL,64,0.3,3.2,0.64,0.2,0.1,0.2,35.7,35.7,18.2,27.3,13.6,9.1,31.8,6.6
Kyle Lowry,MIA,55,0.4,3.7,0.58,0.3,0.1,0.4,21.7,26.1,8.3,4.2,8.3,8.3,20.8,5.3
Cory Joseph,DET,62,0.2,2.3,1.3,0.2,0.1,0.1,57.1,78.6,10,20,10,0,50,94.3
Johnny Davis,WAS,28,0.4,6,1.08,0.5,0.2,0.4,45.5,54.5,8.3,0,8.3,0,50,71.4
John Collins,ATL,71,0.2,1.6,0.93,0.2,0.1,0.2,45.5,54.5,7.1,14.3,7.1,0,42.9,41.2
Kendrick Nunn,LAL,39,0.4,4.9,0.93,0.3,0.1,0.4,35.7,46.4,0,0,0,0,35.7,41.2
Mike Conley,UTA,43,0.3,3.1,0.87,0.3,0.1,0.3,33.3,43.3,0,0,0,0,33.3,27.4
Ty Jerome,GSW,45,0.4,5.5,0.81,0.3,0.1,0.3,38.5,46.2,6.3,12.5,6.3,0,37.5,21.1
Svi Mykhailiuk,CHA,19,1.2,11.2,0.59,0.7,0.3,1,26.3,26.3,9.1,4.5,9.1,0,31.8,5.7
Danuel House Jr.,PHI,56,0.2,4,1.2,0.2,0.1,0.1,50,75,0,20,0,0,40,84.1
Kevin Knox II,DET,42,0.3,4.9,1.09,0.3,0.1,0.2,40,50,9.1,0,9.1,0,45.5,72.2
Collin Sexton,UTA,48,0.3,2,0.92,0.3,0.1,0.1,42.9,50,30.8,23.1,23.1,7.7,38.5,39.1
Jordan Nwora,MIL,38,0.4,6,0.8,0.3,0.1,0.3,30.8,38.5,13.3,13.3,13.3,13.3,26.7,20
Kevin Knox II,POR,21,0.7,8.2,0.8,0.6,0.2,0.6,33.3,41.7,6.7,13.3,6.7,0,33.3,20
Ja Morant,MEM,61,0.3,1,0.75,0.2,0,0.2,25,29.2,25,6.3,25,6.3,37.5,15.1
Spencer Dinwiddie,DAL,53,0.3,2.1,0.67,0.2,0.1,0.3,25,31.3,5.6,5.6,5.6,0,27.8,8.4
Nickeil Alexander-Walker,UTA,36,0.3,4.3,1.1,0.3,0.1,0.2,37.5,50,20,10,20,10,40,74.3
Kendrick Nunn,WAS,31,0.4,4.6,1,0.4,0.1,0.3,40,50,9.1,9.1,9.1,9.1,36.4,60.6
Zach Collins,SAS,63,0.2,1.5,1,0.2,0.1,0.2,50,55,0,9.1,0,0,45.5,60.6
Rui Hachimura,WAS,30,0.4,3.2,0.92,0.4,0.1,0.3,40,45,8.3,8.3,8.3,0,41.7,37.4
Naz Reid,MIN,69,0.2,1.9,0.79,0.2,0.1,0.2,33.3,45.8,0,14.3,0,0,28.6,18.1
Julian Champagnie,SAS,15,1.1,11.9,0.65,0.7,0.3,1,33.3,36.7,0,11.8,0,0,29.4,7.5
Kyle Anderson,MIN,69,0.1,1.5,1,0.1,0,0.1,50,66.7,10,30,10,0,40,60.6
Ziaire Williams,MEM,38,0.3,4.6,0.91,0.3,0.1,0.3,40,45,18.2,0,18.2,9.1,45.5,34.2
Jalen Williams,OKC,75,0.1,1.1,0.91,0.1,0,0.1,37.5,43.8,18.2,9.1,18.2,0,45.5,34.2
Patrick Williams,CHI,82,0.1,1.5,0.83,0.1,0,0.1,40,45,8.3,8.3,8.3,0,41.7,22.5
Santi Aldama,MEM,77,0.2,2.2,0.71,0.1,0.1,0.2,30.8,30.8,14.3,0,7.1,7.1,35.7,11.9
Saddiq Bey,ATL,25,0.4,3.9,0.9,0.4,0.1,0.3,28.6,42.9,20,10,20,0,40,33.2
Joe Ingles,MIL,46,0.2,3.2,0.9,0.2,0.1,0.2,33.3,50,0,10,0,0,30,33.2
Jalen Brunson,NYK,68,0.2,0.7,0.82,0.1,0.1,0.1,40,45,0,9.1,0,0,36.4,21.6
Bol Bol,ORL,70,0.2,1.9,0.75,0.1,0.1,0.2,36.4,36.4,8.3,8.3,8.3,8.3,33.3,15.1
Jrue Holiday,MIL,67,0.2,1,0.69,0.1,0,0.2,23.1,34.6,0,0,0,0,23.1,9.7
Draymond Green,GSW,73,0.2,1.8,0.69,0.1,0.1,0.1,40,45,0,23.1,0,0,30.8,9.7
Coby White,CHI,74,0.2,2,0.64,0.1,0,0.2,21.4,32.1,0,0,0,0,21.4,7
Tyrese Maxey,PHI,60,0.3,1.5,0.56,0.2,0.1,0.3,20,30,0,6.3,0,0,18.8,4
Jalen McDaniels,CHA,56,0.3,2.6,0.56,0.2,0,0.2,20,25,12.5,25,12.5,0,25,4
