PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Brandon Ingram,NOP,18,3.9,17.1,1.06,4.2,1.4,3.5,41.3,51.6,8.5,5.6,8.5,2.8,42.3,53.1
RJ Barrett,NYK,14,5.4,28.6,0.99,5.4,1.6,4.6,35.4,48.5,9.2,6.6,7.9,1.3,38.2,40.9
Paul George,LAC,20,3.9,17.2,0.97,3.8,1.3,3.6,34.7,47.2,6.5,2.6,6.5,2.6,36.4,38.9
Alex Caruso,CHI,19,3.2,38.1,1.21,3.9,1.3,2.8,46.3,65.7,3.3,8.2,0,0,44.3,80.2
Deni Avdija,WAS,20,3.3,28.6,1.14,3.7,1.4,3,47.5,56.8,7.7,6.2,7.7,4.6,46.2,66.7
Corey Kispert,WAS,19,3.5,35.4,1.09,3.8,1.4,3.2,43.3,57.5,9,6,9,4.5,41.8,60.4
Simone Fontecchio,UTA,19,3.6,49.6,1.07,3.8,1.3,3.1,40.7,56.8,4.4,8.8,4.4,0,39.7,57.4
Jalen Suggs,ORL,20,3.6,28.6,1.01,3.7,1.3,3.2,39.1,54.7,5.6,6.9,5.6,1.4,37.5,47.5
Reggie Jackson,DEN,22,2.2,16.6,1.5,3.3,1.2,2.1,56.5,78.3,2.1,4.2,2.1,2.1,54.2,98
Tyrese Maxey,PHI,19,3.2,13.4,1.2,3.8,1.3,2.9,43.6,56.4,10,1.7,10,3.3,46.7,77.8
Moses Moody,GSW,21,3.1,40,1.09,3.4,1.1,2.9,39.3,54.9,4.5,3,4.5,0,40.9,61.3
Shaedon Sharpe,POR,20,3,15.1,1.18,3.6,1.2,2.5,48,65,6.7,10,6.7,0,46.7,76.6
Cedi Osman,SAS,20,3.6,47.1,0.99,3.6,1.3,3.4,37.3,51.5,2.8,5.6,2.8,1.4,36.1,40.6
Pascal Siakam,TOR,21,4.2,20.2,0.81,3.4,1.2,3.5,35.1,41.9,6.8,11.4,5.7,2.3,34.1,16.5
