,GP_PnR_handler,POSS_PnR_handler,FREQ%_PnR_handler,PPP_PnR_handler,PTS_PnR_handler,FGM_PnR_handler,FGA_PnR_handler,FG%_PnR_handler,EFG%_PnR_handler,FT_PnR_handler,TOV_PnR_handler,SF_PnR_handler,AND ONE_PnR_handler,SCORE_PnR_handler,PERCENTILE_PnR_handler,LABEL,PLAYER,Constant
97,18.0,1.4,9.1,1.24,1.7,0.6,1.2,52.4,61.9,12,8,12,4,52,97.9,2,Tim Hardaway Jr.,
98,21.0,1.8,15.4,0.84,1.5,0.6,1.4,41.4,43.1,8.1,13.5,8.1,0,40.5,45.2,0,Jaime Jaquez Jr.,
99,17.0,3.2,23.0,0.56,1.8,0.6,2.2,29.7,36.5,3.6,29.1,3.6,0,23.6,8.5,0,Jrue Holiday,
100,20.0,1.2,8.5,1.3,1.5,0.6,1.0,63.2,73.7,4.3,13,4.3,0,56.5,99.5,2,De'Andre Hunter,
101,12.0,2.3,25.0,1.07,2.5,1.0,1.8,54.5,63.6,3.6,17.9,3.6,0,46.4,86.1,2,Bones Hyland,
102,19.0,1.5,18.1,1.03,1.6,0.5,0.9,58.8,67.6,13.8,27.6,10.3,0,48.3,80.3,2,Alex Caruso,
103,21.0,1.6,17.5,0.91,1.4,0.6,1.2,52.0,52.0,6.1,18.2,6.1,0,45.5,58.6,2,Dyson Daniels,
104,16.0,1.7,27.0,1.07,1.8,0.8,1.6,52.0,54.0,3.7,3.7,3.7,0,51.9,87.7,2,Aaron Holiday,
105,20.0,1.4,26.5,1.07,1.5,0.6,1.0,63.2,65.8,11.1,22.2,11.1,3.7,51.9,87.7,2,Patrick Beverley,
106,20.0,2.0,23.5,0.74,1.5,0.4,1.1,31.8,31.8,23.1,20.5,23.1,0,41,26.7,0,Kyle Anderson,
107,20.0,2.0,11.9,0.74,1.5,0.7,1.7,39.4,39.4,5.1,10.3,5.1,0,38.5,26.7,0,Tobias Harris,
108,21.0,2.4,11.5,0.58,1.4,0.5,1.8,29.7,29.7,12,18,12,4,30,11.2,0,Pascal Siakam,
109,17.0,1.6,14.7,0.93,1.5,0.5,1.3,36.4,43.2,14.3,10.7,14.3,3.6,39.3,63.8,2,Jaden Ivey,
110,22.0,1.5,25.2,0.79,1.2,0.5,1.2,40.7,48.1,0,18.2,0,0,33.3,36.2,0,Jevon Carter,
111,22.0,1.4,15.4,0.81,1.1,0.5,1.0,45.5,50.0,6.5,22.6,6.5,0,38.7,38.8,0,Patrick Williams,
112,18.0,1.3,9.7,1.04,1.3,0.4,0.9,47.1,50.0,17.4,13,17.4,4.3,47.8,81.4,2,Dillon Brooks,
113,5.0,5.0,39.1,0.96,4.8,2.4,4.6,52.2,52.2,4,8,4,4,48,68.1,1,Markelle Fultz,
114,18.0,1.7,16.4,0.8,1.3,0.6,1.3,41.7,41.7,6.7,13.3,3.3,0,40,37.8,0,Josh Richardson,
115,22.0,1.5,14.9,0.71,1.1,0.4,1.1,32.0,34.0,11.8,17.6,11.8,2.9,32.4,22.3,0,Kentavious Caldwell-Pope,
116,18.0,1.0,9.2,1.28,1.3,0.4,0.8,57.1,64.3,16.7,5.6,11.1,0,61.1,98.9,2,Herbert Jones,
117,13.0,1.9,13.4,0.92,1.8,0.8,1.8,47.8,50.0,0,8,0,0,44,61.2,2,Cameron Johnson,
118,20.0,1.3,18.7,0.89,1.2,0.5,1.1,42.9,47.6,11.5,11.5,11.5,3.8,38.5,54.8,2,Jordan Goodwin,
119,20.0,1.8,12.6,0.61,1.1,0.5,1.2,39.1,39.1,8.3,27.8,8.3,0,33.3,15.0,0,Russell Westbrook,
120,17.0,1.5,21.1,0.81,1.2,0.5,1.3,40.9,45.5,3.8,11.5,3.8,0,38.5,39.6,0,Jaden Hardy,
121,21.0,1.2,4.8,0.81,1.0,0.3,1.0,30.0,42.5,7.7,15.4,7.7,0,30.8,39.6,0,Nikola Jokic,
122,14.0,1.9,19.4,0.78,1.5,0.4,1.4,26.3,28.9,18.5,11.1,18.5,0,37,33.9,0,Alec Burks,
123,20.0,1.5,8.9,0.72,1.1,0.5,1.0,47.4,55.3,0,34.5,0,0,31,23.9,0,Klay Thompson,
124,2.0,9.5,42.2,1.05,10.0,4.0,9.0,44.4,55.6,0,5.3,0,0,42.1,83.5,1,Anfernee Simons,
125,13.0,1.7,22.7,0.91,1.5,0.5,1.2,37.5,40.6,18.2,13.6,18.2,4.5,40.9,58.6,2,Dennis Smith Jr.,
126,20.0,1.1,11.1,0.91,1.0,0.4,1.0,40.0,50.0,0,9.1,0,0,36.4,58.6,0,Malik Beasley,
127,20.0,1.2,17.9,0.83,1.0,0.4,0.8,50.0,50.0,12.5,25,8.3,4.2,41.7,44.4,2,Shake Milton,
128,8.0,2.3,43.9,1.06,2.4,0.6,1.6,38.5,38.5,33.3,5.6,27.8,11.1,50,84.0,2,Delon Wright,
129,20.0,1.7,13.1,0.58,1.0,0.4,1.2,33.3,37.5,3,27.3,3,3,24.2,10.6,0,Jalen Suggs,
130,19.0,1.9,12.8,0.53,1.0,0.4,1.6,26.7,30.0,2.8,13.9,2.8,0,25,5.3,0,Andrew Wiggins,
131,20.0,0.8,7.8,1.2,0.9,0.4,0.7,50.0,57.1,20,0,20,13.3,53.3,95.7,2,Luguentz Dort,
132,14.0,1.2,20.0,1.06,1.3,0.6,0.9,66.7,70.8,5.9,29.4,5.9,5.9,47.1,84.6,2,Davion Mitchell,
133,20.0,1.0,13.1,0.9,0.9,0.4,0.7,50.0,53.6,10,20,5,0,45,56.7,2,Cedi Osman,
134,20.0,1.3,11.5,0.69,0.9,0.4,0.9,44.4,50.0,0,30.8,0,0,30.8,19.3,0,Deni Avdija,
135,21.0,1.4,25.6,0.57,0.8,0.3,1.0,27.3,31.8,10,20,6.7,3.3,23.3,9.6,0,Malachi Flynn,
136,18.0,0.6,9.2,1.6,0.9,0.3,0.4,62.5,75.0,30,0,30,10,70,100.0,2,Pat Connaughton,
