,GP_spot_up,POSS_spot_up,FREQ%_spot_up,PPP_spot_up,PTS_spot_up,FGM_spot_up,FGA_spot_up,FG%_spot_up,EFG%_spot_up,FT_spot_up,TOV_spot_up,SF_spot_up,AND ONE_spot_up,SCORE_spot_up,PERCENTILE_spot_up,LABEL,PLAYER,Constant
242,15.0,2.1,29.6,0.84,1.8,0.7,1.8,37.0,50.0,3.1,12.5,3.1,0,31.3,19.8,1,Brandin Podziemski,
243,8.0,1.9,44.1,1.73,3.3,1.1,1.6,69.2,92.3,6.7,6.7,6.7,0,66.7,100.0,0,Jeremiah Robinson-Earl,
244,17.0,1.5,7.0,1.0,1.5,0.6,1.1,55.6,61.1,15.4,19.2,15.4,3.8,50,43.9,0,Zion Williamson,
245,20.0,1.6,18.7,0.84,1.3,0.6,1.3,42.3,46.2,6.5,12.9,6.5,3.2,38.7,19.5,1,Kyle Anderson,
246,13.0,1.4,29.5,1.39,1.9,0.7,1.4,50.0,69.4,0,0,0,0,50,94.4,0,Marcus Morris Sr.,
247,16.0,1.7,13.9,0.93,1.6,0.5,1.6,32.0,46.0,3.7,3.7,3.7,0,33.3,30.7,1,Khris Middleton,
248,11.0,2.0,19.6,1.09,2.2,0.8,2.0,40.9,54.5,0,0,0,0,40.9,61.3,1,Derrick Rose,
249,20.0,1.7,12.7,0.73,1.2,0.4,1.7,24.2,36.4,0,0,0,0,24.2,9.9,1,Jusuf Nurkic,
250,14.0,2.5,41.2,0.69,1.7,0.5,2.0,25.0,35.7,5.7,14.3,2.9,0,25.7,6.9,1,Davion Mitchell,
251,15.0,2.4,37.9,0.67,1.6,0.5,2.2,24.2,36.4,2.8,8.3,2.8,2.8,22.2,6.0,1,Jonathan Isaac,
252,13.0,2.8,42.5,0.62,1.8,0.6,2.5,25.0,29.7,5.4,8.1,5.4,0,27,4.0,1,Theo Maledon,
253,16.0,1.4,6.4,1.0,1.4,0.6,1.3,50.0,50.0,9.1,4.5,9.1,4.5,50,43.9,1,Bam Adebayo,
254,8.0,3.6,50.0,0.76,2.8,0.9,2.9,30.4,43.5,3.4,17.2,3.4,0,27.6,13.2,1,Isaiah Livers,
255,21.0,1.5,9.6,0.71,1.0,0.4,1.2,36.0,40.0,3.2,16.1,0,0,32.3,8.3,1,Evan Mobley,
256,10.0,1.3,48.1,1.61,2.1,0.7,1.3,53.8,76.9,7.7,0,7.7,7.7,53.8,99.3,0,Otto Porter Jr.,
257,14.0,1.1,15.7,1.31,1.5,0.5,1.0,50.0,67.9,6.3,6.3,6.3,0,50,91.4,0,Jalen Smith,
258,7.0,3.0,36.8,1.0,3.0,1.0,2.4,41.2,55.9,4.8,14.3,4.8,0,38.1,43.9,1,Jose Alvarado,
259,18.0,1.2,8.7,0.95,1.2,0.5,1.2,42.9,50.0,0,4.5,0,0,40.9,35.6,1,Aaron Gordon,
